area,bedrooms,open_sides,floors,location_score,price
1071.77,4,3,2,4.19,4000227.77
1127.1,2,3,2,8.77,4429360.66
3267.53,5,4,2,9.43,11113772.03
1303.45,3,2,3,4.92,4649542.97
1428.9,4,3,3,2.96,4875984.35
3751.03,5,2,2,1.83,11868028.42
1103.07,6,4,1,4.74,4147581.08
2562.14,5,1,3,2.94,8215853.9
4834.5,6,1,2,5.05,15364561.25
4529.85,1,4,1,3.19,14061807.58
3626.13,2,1,3,9.06,11972978.17
4768.04,4,2,2,8.78,15491491.59
1016.77,1,2,1,9.48,4072120.68
3721.88,2,1,2,6.4,11951202.76
4682.88,6,2,2,1.69,14663695.74
3048.82,1,4,1,3.01,9587571.98
3686.33,2,3,3,5.61,11817047.39
4525.49,3,4,2,7.82,14689629.71
3340.12,4,4,3,2.55,10619007.37
1660.49,5,1,2,6.43,5949253.7
1004.18,2,2,1,7.22,3883534.32
3350.3,4,4,2,9.03,11244186.16
2265.1,4,2,3,4.93,7578424.37
2421.99,4,4,2,8.23,8471836.54
1318.46,5,4,3,9.25,5314592.88
3898.12,2,1,3,8.42,12678123.89
918.96,4,1,1,3.22,3287868.55
2486.89,2,3,1,4.95,8118291.35
654.75,5,2,3,9.13,3281952.48
2000.75,4,2,1,4.38,6720994.79
3171.17,3,2,2,5.09,10278211.58
1115.68,3,3,3,8.51,4528368.29
4099.35,5,3,2,3.66,13063209.55
1680.19,2,1,3,8.14,5951290.86
2742.99,2,4,2,6.75,9083849.19
4998.73,5,1,2,9.63,16225249.54
1803.88,3,2,2,6.66,6365550.25
3597.81,2,1,1,2.24,11090327.02
2366.69,1,2,1,6.02,7859592.33
4130.76,6,4,3,8.77,13740602.95
3481.35,5,2,2,7.87,11539093.82
3363.85,1,3,3,5.88,10819803.13
921.54,1,2,3,5.65,3431244.98
2859.76,2,3,1,4.88,9172483.17
3253.34,5,2,1,6.16,10699816.03
1227.33,5,3,2,8.03,4888061.09
2852.3,2,1,2,4.03,9101899.14
2665.13,2,1,3,2.49,8426854.54
3165.87,3,2,3,7.77,10614412.42
3631.88,3,4,2,4.0,11594964.4
3641.73,1,3,1,1.13,11130024.38
937.29,4,3,2,4.47,3519516.38
891.14,1,2,2,9.58,3761227.95
4643.79,6,1,1,6.31,14933047.45
1525.71,4,1,3,1.88,4978037.78
3818.76,4,1,1,6.82,12311452.86
2105.39,2,4,3,7.97,7359141.17
1186.43,4,4,2,4.39,4349017.17
2840.31,2,2,1,9.0,9541128.24
2702.54,5,3,1,6.03,9072645.4
2154.72,5,2,3,7.66,7606237.53
2014.72,1,4,1,2.4,6492691.93
4115.66,6,2,3,4.46,13206423.1
1458.34,6,3,2,8.05,5619580.15
4177.5,5,1,1,9.41,13827360.34
4727.75,6,2,3,6.34,15202815.62
664.47,1,4,3,8.71,3019714.29
1764.33,6,2,2,8.58,6635153.79
2860.3,1,1,3,2.13,8885380.42
1531.63,3,2,3,5.42,5398488.33
968.49,1,2,3,5.89,3653713.5
4081.07,3,3,1,9.97,13551709.84
2762.06,1,2,2,8.04,9276550.37
732.57,4,1,3,4.0,2794891.95
795.69,4,3,2,4.29,3151974.93
1819.16,6,3,2,5.08,6311333.25
958.02,4,2,2,3.22,3475085.97
4968.34,6,3,3,5.02,15911868.08
4535.44,6,4,3,8.2,14940914.57
1130.51,4,3,2,7.45,4396690.71
4778.21,6,2,3,4.62,15219979.35
4414.53,3,4,2,1.06,13620449.15
2423.93,4,3,1,10.0,8519162.09
3350.88,3,2,3,9.65,11274890.94
1034.68,4,3,2,1.14,3543612.89
4929.81,6,1,1,2.56,15435336.99
1693.41,3,1,3,6.68,5980375.48
3783.23,1,1,3,7.59,12286307.26
4824.82,1,2,1,5.19,15032886.63
2642.23,1,1,2,8.86,8936139.98
4522.52,2,4,2,4.75,14389386.04
1931.02,2,3,2,2.43,6194473.16
2579.03,5,2,2,7.57,8857643.66
2113.1,6,4,2,2.81,7018610.0
2545.43,1,4,3,1.41,8044226.74
1626.09,5,1,1,1.32,5199927.48
4616.89,5,2,1,7.05,14907292.12
4201.7,6,3,3,1.69,13255170.71
4985.93,2,3,2,9.3,16106024.72
4609.58,6,3,3,1.76,14401492.74
4568.71,6,2,1,1.85,14190724.83
2528.78,1,2,2,9.54,8673863.43
3309.07,6,1,2,5.24,10677483.16
3424.84,2,3,3,5.61,11094077.19
1789.44,2,2,3,9.2,6560270.65
4147.49,4,2,3,7.41,13406665.21
3936.23,2,2,2,3.25,12392429.95
2853.79,4,2,1,7.44,9510959.72
1394.22,3,2,3,4.53,4858709.16
2185.76,2,3,3,7.72,7514696.98
1026.04,6,4,1,6.9,4172019.34
1776.99,4,2,3,7.67,6410976.85
2227.51,2,3,3,9.46,7831687.02
4492.46,5,2,1,4.74,14248671.57
940.25,3,4,1,3.53,3405440.38
3710.07,1,1,2,9.77,12219132.33
2798.36,6,3,1,4.1,9218561.02
4258.86,5,1,3,3.04,13416203.85
1442.07,4,3,3,9.54,5653005.06
4939.32,4,4,3,3.08,15467705.09
1038.17,6,2,3,6.49,4086072.7
2680.35,6,2,1,4.26,8801833.74
2382.09,4,4,1,7.97,8265227.73
4776.85,4,2,2,4.36,15044327.78
979.69,5,4,2,5.71,3908300.39
3740.16,5,1,1,9.13,12406879.92
4931.79,4,4,1,6.49,15649464.42
1810.53,2,2,2,4.48,6097074.97
3931.06,5,1,1,8.83,12931561.56
4940.99,2,1,2,3.61,15403206.31
3678.09,6,3,1,4.67,11935519.53
3251.54,6,2,2,3.27,10482465.32
2197.78,3,1,2,5.08,7219578.47
801.84,4,1,1,2.8,2930091.59
3233.95,2,4,3,9.61,11039514.47
629.52,6,3,2,9.0,3152044.68
1748.22,3,2,3,1.44,5694645.26
2077.64,6,1,3,5.63,7183981.38
4421.57,3,3,1,2.17,13745831.33
2733.65,4,2,3,3.16,8812944.77
2622.09,2,1,3,2.53,8314219.83
2945.99,3,3,1,1.14,9217953.01
4237.79,4,3,3,9.88,14038235.56
1176.88,4,2,3,6.3,4486634.31
3634.93,6,1,1,6.61,11889065.96
1435.49,6,4,2,7.39,5517993.0
2456.72,5,4,1,7.2,8366298.79
3821.15,3,4,2,4.25,12209312.02
4424.56,4,4,2,5.7,14204581.31
4829.78,3,4,3,2.64,15112849.74
4845.34,2,1,1,4.88,15192329.52
2804.42,3,3,1,5.51,9314976.59
733.21,1,4,3,1.08,2567703.43
3682.57,5,2,3,1.48,11559328.18
3573.53,3,4,1,4.14,11323649.73
3156.33,1,4,3,3.46,9958561.02
2993.8,6,3,2,4.51,9897992.35
2179.89,1,4,2,6.73,7384193.46
2927.04,3,3,1,2.55,9239381.83
1182.54,4,2,1,9.13,4683912.61
3661.18,2,3,3,2.93,11498666.99
884.07,1,2,1,2.7,3176108.86
614.08,5,4,2,4.85,2733253.87
1645.88,5,1,3,4.29,5696956.0
2224.12,4,2,2,3.29,7357900.36
3579.05,6,2,2,3.94,11613708.3
4026.44,2,4,1,7.36,12982389.47
2476.11,5,2,3,5.93,8358524.71
2896.65,6,1,1,2.03,9281246.33
1567.62,1,2,1,6.0,5478191.89
4639.35,6,3,2,7.07,14968499.07
1038.93,5,1,2,2.54,3664159.94
1451.52,2,1,3,7.17,5279073.33
2346.72,1,3,2,1.19,7289591.28
2342.35,1,1,1,2.03,7376345.9
1127.72,6,1,1,4.74,4121656.43
4627.91,3,1,3,2.4,14339407.24
703.87,6,4,1,9.48,3458718.08
1953.3,2,2,3,5.62,6652459.11
2942.13,6,3,3,8.42,10090870.07
1118.84,3,3,1,3.23,3897936.9
3970.72,1,1,3,4.26,12457641.68
4836.29,5,3,1,2.05,14958272.1
1539.84,5,3,3,4.06,5422002.07
4349.57,3,2,3,5.23,13816871.34
1667.41,3,1,3,9.14,6152546.39
4732.06,2,2,1,6.07,14944961.14
2761.87,6,4,3,1.62,8942703.79
3835.04,1,4,1,5.31,12251922.57
4401.83,5,1,3,9.01,14508897.39
1339.55,5,4,3,9.79,5276687.86
4935.43,3,2,2,5.51,15575360.71
4831.01,1,3,1,5.94,15190230.26
1022.33,5,3,2,2.81,3600842.23
2891.1,5,1,2,8.96,9893232.54
3018.38,3,3,3,4.77,9850019.92
4762.78,5,2,1,6.16,15235257.32
1318.68,2,4,1,3.99,4640685.13
4648.43,2,3,2,4.28,14581534.54
637.25,2,3,1,4.2,2477667.75
3486.52,6,3,2,8.11,11744627.96
4506.19,5,4,2,6.69,14527502.08
4195.66,4,1,3,9.39,13788899.74
2912.43,3,3,2,2.87,9253577.69
1759.7,6,3,1,6.74,6395278.34
1289.17,6,2,3,6.05,4852954.16
2184.22,2,1,1,8.93,7577532.98
1578.03,2,1,3,8.59,5723418.17
4176.82,1,2,2,7.98,13511390.92
2148.63,6,2,3,9.12,7835180.16
4507.37,2,1,2,5.08,14155552.59
832.08,3,3,2,1.63,2886230.96
3228.93,2,4,1,6.41,10529769.5
1606.81,5,4,2,6.37,5839878.7
2039.37,5,1,2,9.73,7471817.59
2608.97,4,4,3,4.69,8681277.05
3180.37,4,2,1,9.78,10844868.34
4910.15,5,1,3,3.74,15463727.46
2019.27,6,1,1,2.92,6687008.01
3988.1,5,1,3,3.66,12660854.01
4772.84,1,1,1,9.4,15385386.93
4751.45,2,3,1,6.73,15183406.55
1706.29,3,4,1,2.59,5647302.74
3663.59,1,4,1,7.88,11900894.74
2573.5,4,3,2,7.09,8706554.76
2581.41,5,1,3,9.33,9075498.3
1935.39,6,4,1,8.15,7062901.62
2117.71,4,1,3,6.98,7393485.6
1059.34,3,2,1,1.89,3619383.37
2414.46,6,4,1,2.51,7949514.62
1284.65,3,2,2,9.42,5141136.6
3923.53,3,4,2,8.36,12929295.28
3910.31,4,1,1,8.07,12893847.17
1134.16,3,1,1,5.64,4224027.72
3345.19,2,4,3,8.16,11100544.35
4169.58,4,1,1,5.79,13314463.14
2630.62,5,3,3,1.1,8390097.99
2124.38,1,4,2,1.47,6789308.89
3793.97,3,4,1,9.05,12568380.16
3997.16,3,3,1,3.57,12641114.02
2208.62,1,4,2,6.83,7535532.64
4397.29,6,2,3,5.87,14158602.73
3398.0,5,4,2,6.88,11264062.91
3383.94,2,1,3,1.15,10440608.49
3820.54,6,4,3,5.49,12537634.13
3247.79,2,1,3,1.67,10133743.8
2507.03,6,2,1,9.22,8878954.14
3864.24,1,2,2,1.4,11823530.3
1978.99,6,2,1,2.83,6573288.77
2535.98,3,4,2,5.21,8472366.04
2315.67,4,4,2,3.38,7609552.31
4831.92,4,1,1,2.86,15035534.75
3064.5,4,1,2,5.62,10108549.48
3068.5,6,4,3,7.32,10313790.72
849.81,3,4,2,4.15,3217932.95
4516.52,6,1,3,7.38,14663376.85
4579.12,3,1,1,5.7,14462663.17
2130.77,4,4,1,9.36,7570618.29
3154.63,6,4,2,7.63,10670627.77
1279.82,1,4,3,9.24,5027827.84
2994.59,3,2,2,5.82,9805712.66
1275.44,1,2,1,1.05,4005761.3
1358.09,2,3,1,6.01,4826591.57
4532.41,5,1,1,5.04,14367880.63
4233.84,6,4,3,1.41,13346978.59
4323.41,4,4,3,7.73,14051695.53
875.75,3,1,3,2.15,3149759.63
3847.76,2,2,1,5.59,12262240.25
1104.87,1,3,2,2.87,3725587.11
1825.1,1,2,2,5.16,6063663.57
1039.39,5,4,3,2.28,3853042.74
1837.05,4,4,3,8.77,6725957.08
2764.11,3,4,1,8.44,9400263.74
4743.09,2,4,1,6.99,15075389.62
2185.43,4,3,2,3.21,7127801.72
1964.3,6,4,1,2.71,6580947.4
1272.56,2,1,1,2.05,4233394.75
3857.2,6,4,3,1.38,12270124.08
3523.52,1,3,1,5.1,11179462.52
1467.23,6,4,2,3.22,5137664.75
4219.06,5,3,1,3.8,13323344.82
3874.82,2,2,1,1.5,11845008.03
1569.37,2,3,1,4.87,5396537.7
1709.05,3,4,3,4.96,5967209.28
1378.59,3,1,3,5.12,4947974.42
4185.96,1,2,1,7.71,13409449.27
3969.1,2,4,3,1.25,12265528.91
4775.28,3,1,1,4.73,15030921.99
1202.69,3,1,1,6.58,4581107.25
799.23,5,4,1,2.4,2995678.61
581.5,5,2,1,5.68,2689469.05
2918.28,4,2,1,5.28,9563580.38
3927.29,2,3,2,5.87,12589382.96
2430.47,2,2,1,8.93,8391092.26
3877.77,6,1,3,7.67,12803522.51
1011.01,5,4,3,8.39,4310041.85
4715.28,1,2,2,6.65,14867339.73
4704.65,2,4,1,3.65,14739025.72
3485.92,2,1,1,2.94,10927122.83
1346.55,4,1,2,6.23,4980543.43
2174.08,2,2,2,3.67,7010540.02
3260.37,1,1,3,4.9,10351205.44
939.52,1,3,2,4.85,3441652.05
4201.42,5,2,3,2.43,13166266.72
1128.98,3,3,3,3.81,4109885.44
3345.38,3,2,3,2.07,10506652.43
1759.91,4,2,1,3.75,5877467.37
4842.62,6,3,3,3.44,15281876.23
3304.84,1,4,1,4.94,10510307.61
2742.65,6,3,2,6.64,9389403.31
1398.53,3,2,2,1.25,4528748.68
2534.98,5,3,1,3.04,8224941.32
1914.6,1,3,1,2.35,6075138.41
2722.08,6,4,1,2.13,8863372.43
4165.11,6,2,1,5.16,13407755.89
1902.7,3,4,3,8.41,6783223.14
785.19,1,4,3,6.68,3271703.48
2896.78,5,2,3,2.84,9407404.21
3622.77,3,2,1,6.19,11785816.57
2971.52,3,2,3,8.09,9950849.99
3780.53,6,4,2,1.55,12000918.24
4722.53,2,4,3,7.36,15209072.58
3282.15,2,2,3,8.77,10895441.35
3526.33,6,1,1,3.95,11277543.62
4142.13,6,1,1,7.69,13623300.37
4448.18,6,4,3,7.53,14459404.62
2232.94,2,4,2,2.92,7269999.15
2941.9,6,3,2,1.45,9349610.64
707.01,5,2,2,6.31,3171114.95
522.78,3,2,1,9.23,2631623.58
3796.57,4,3,1,6.05,12238469.69
2452.33,3,2,2,9.32,8565508.11
676.9,5,1,2,4.41,2765226.74
731.42,5,4,1,8.04,3361744.67
3854.48,1,2,3,8.5,12599530.44
665.99,5,4,3,9.16,3304575.04
1455.53,2,4,1,1.29,4674466.45
2061.29,1,4,1,1.41,6473111.82
683.91,4,4,3,4.73,2887567.13
3102.26,2,1,1,2.84,9808015.62
2071.44,2,4,1,1.65,6582121.2
2865.61,6,2,3,5.37,9490058.86
1298.48,4,3,2,4.87,4629663.53
3814.0,6,2,3,2.8,12257230.83
2724.89,2,2,1,7.27,9050189.63
3522.08,2,4,2,5.15,11280720.82
2840.74,3,2,2,7.96,9545507.59
4383.97,4,4,1,1.09,13571999.03
1074.11,2,3,2,1.71,3680854.04
2186.92,4,4,1,7.69,7670997.81
910.43,2,3,1,9.51,3879704.01
753.69,1,4,1,2.2,2648886.65
2916.98,2,2,2,8.93,9804824.62
4097.35,4,2,1,4.34,13040202.31
650.9,1,3,1,7.63,2810168.94
1198.58,4,4,2,3.63,4321588.37
1029.88,1,2,2,7.6,3985740.33
2190.12,6,1,3,7.04,7621649.7
1869.09,2,3,3,3.48,6217206.45
3350.65,4,3,3,9.46,11353471.49
4261.91,1,3,1,8.2,13782071.68
582.76,2,4,3,9.55,2969736.85
3024.22,6,3,1,2.96,9681636.93
1339.57,6,3,3,8.03,5259732.14
4162.08,4,2,3,4.48,13160749.99
2969.3,3,4,2,5.05,9762661.03
640.32,6,4,2,4.81,2824831.15
3715.68,4,3,1,4.7,11964158.02
4774.1,5,4,2,3.32,14979340.22
3389.14,4,4,2,7.6,11329354.79
1365.3,5,4,1,9.45,5401392.1
3126.45,2,1,3,5.69,10071073.97
924.99,2,2,2,8.46,3761813.89
953.5,5,2,1,9.13,4123289.39
4537.0,5,1,1,4.43,14330426.43
3735.71,4,3,3,6.55,12239610.97
4448.03,2,1,3,4.52,13897958.68
1529.59,4,2,1,5.66,5465935.47
1724.65,3,1,3,8.15,6203117.26
3921.03,3,4,1,3.72,12448586.78
4051.27,6,1,2,9.19,13383836.89
3308.67,6,3,2,3.65,10627728.78
1152.03,1,4,2,1.88,3877211.67
3470.89,2,2,2,8.86,11397323.57
4334.82,2,2,1,7.73,13949528.43
4878.55,1,1,1,7.21,15512465.6
4092.33,4,1,2,8.36,13299104.9
2972.88,1,3,2,9.4,10024053.96
1769.16,1,3,2,5.4,6003608.98
3188.36,5,4,1,5.71,10472931.06
3177.85,1,1,2,1.29,9852459.76
4448.62,4,2,1,4.7,14129372.45
1315.55,2,3,1,6.55,4761140.65
1042.86,6,2,3,7.6,4307663.71
3214.18,5,1,1,6.27,10607621.73
1604.07,4,4,3,3.04,5526655.1
4528.43,3,3,1,1.63,13991180.51
2413.46,6,2,2,3.69,8007144.99
1589.25,2,4,1,7.36,5741501.58
2552.31,5,4,3,8.9,8993792.63
4555.21,2,2,1,4.41,14249123.36
582.0,4,4,2,1.7,2205129.75
609.42,1,4,1,6.77,2634795.59
1902.75,5,1,1,9.01,6934947.92
4181.07,3,2,2,2.1,12946604.36
3709.6,1,1,2,9.06,12248854.04
4984.87,2,4,3,4.88,15753589.59
1594.27,2,2,3,3.82,5397528.19
2624.3,2,3,3,8.52,9003844.12
